"Rate ID";"User ID";"Obs Session ID";"Start Date";"End Date";Ra;Decl;Teff;F;Lm;Shower;Method;Number
988788;11553;81907;"2021-01-02 22:30:00";"2021-01-02 23:20:00";90.0000;83.0000;0.8333;1.0500;4.9;ANT;C;1
988789;11553;81907;"2021-01-02 22:30:00";"2021-01-02 23:20:00";90.0000;83.0000;0.8333;1.0500;4.9;QUA;C;2
988790;11553;81907;"2021-01-02 22:30:00";"2021-01-02 23:20:00";90.0000;83.0000;0.8333;1.0500;4.9;DLM;C;1
988791;11553;81907;"2021-01-02 22:30:00";"2021-01-02 23:20:00";90.0000;83.0000;0.8333;1.0500;4.9;SPO;C;0
988792;11553;81907;"2021-01-02 23:20:00";"2021-01-02 23:40:00";90.0000;83.0000;0.3333;1.0500;4.7;ANT;C;0
988793;11553;81907;"2021-01-02 23:20:00";"2021-01-02 23:40:00";90.0000;83.0000;0.3333;1.0500;4.7;QUA;C;0
988794;11553;81907;"2021-01-02 23:20:00";"2021-01-02 23:40:00";90.0000;83.0000;0.3333;1.0500;4.7;DLM;C;0
988795;11553;81907;"2021-01-02 23:20:00";"2021-01-02 23:40:00";90.0000;83.0000;0.3333;1.0500;4.7;SPO;C;0
988796;418;81908;"2021-01-03 09:15:00";"2021-01-03 10:15:00";200.0000;50.0000;1.0000;1.0000;4.48;QUA;C;20
988797;418;81908;"2021-01-03 09:15:00";"2021-01-03 10:15:00";200.0000;50.0000;1.0000;1.0000;4.48;SPO;C;2
988798;418;81908;"2021-01-03 10:16:00";"2021-01-03 10:50:00";200.0000;50.0000;0.5667;1.0000;4.48;QUA;C;20
988799;418;81908;"2021-01-03 10:16:00";"2021-01-03 10:50:00";200.0000;50.0000;0.5667;1.0000;4.48;SPO;C;1
988800;418;81908;"2021-01-03 10:51:00";"2021-01-03 11:00:00";200.0000;50.0000;0.1500;1.0000;4.48;QUA;C;5
988801;418;81908;"2021-01-03 10:51:00";"2021-01-03 11:00:00";200.0000;50.0000;0.1500;1.0000;4.48;SPO;C;0
988802;11569;81909;"2021-01-03 10:51:00";"2021-01-03 11:21:00";193.0000;8.0000;0.5000;1.3300;5.07;QUA;C;9
988803;11569;81909;"2021-01-03 10:51:00";"2021-01-03 11:21:00";193.0000;8.0000;0.5000;1.3300;5.07;SPO;C;1
988804;11569;81909;"2021-01-03 11:21:00";"2021-01-03 11:54:00";193.0000;8.0000;0.5500;1.3300;5.07;QUA;C;10
988805;11569;81909;"2021-01-03 11:21:00";"2021-01-03 11:54:00";193.0000;8.0000;0.5500;1.3300;5.07;SPO;C;1
988806;11569;81909;"2021-01-03 11:54:00";"2021-01-03 12:28:00";217.0000;35.0000;0.4333;1.3300;5.64;QUA;C;10
