"Rate ID";"User ID";"Obs Session ID";"Start Date";"End Date";Ra;Decl;Teff;F;Lm;Shower;Method;Number
944639;11586;78233;"2019-01-02 21:30:00";"2019-01-02 22:55:00";165.0000;75.0000;1.1500;1.0500;4.87;ANT;C;2
944640;11586;78233;"2019-01-02 21:30:00";"2019-01-02 22:55:00";165.0000;75.0000;1.1500;1.0500;4.87;QUA;C;0
944641;11586;78233;"2019-01-02 21:30:00";"2019-01-02 22:55:00";165.0000;75.0000;1.1500;1.0500;4.87;SPO;C;0
944642;474;78234;"2019-01-02 17:15:00";"2019-01-02 19:05:00";75.0000;80.0000;1.7830;1.0000;6.05;ANT;C;0
944643;474;78234;"2019-01-02 17:15:00";"2019-01-02 19:05:00";75.0000;80.0000;1.7830;1.0000;6.05;QUA;C;3
944644;474;78234;"2019-01-02 17:15:00";"2019-01-02 19:05:00";75.0000;80.0000;1.7830;1.0000;6.05;SPO;C;11
944645;82;78235;"2019-01-02 17:35:00";"2019-01-02 18:35:00";50.0000;45.0000;1.0000;1.0000;6.2;ANT;C;1
944646;82;78235;"2019-01-02 17:35:00";"2019-01-02 18:35:00";50.0000;45.0000;1.0000;1.0000;6.2;QUA;C;2
944647;82;78235;"2019-01-02 17:35:00";"2019-01-02 18:35:00";50.0000;45.0000;1.0000;1.0000;6.2;SPO;C;8
944648;352;78236;"2019-01-03 02:42:00";"2019-01-03 02:50:00";190.0000;28.0000;0.1333;1.0000;6.77;ANT;C;0
944649;352;78236;"2019-01-03 02:42:00";"2019-01-03 02:50:00";190.0000;28.0000;0.1333;1.0000;6.77;QUA;C;2
944650;352;78236;"2019-01-03 02:42:00";"2019-01-03 02:50:00";190.0000;28.0000;0.1333;1.0000;6.77;DLM;C;0
944651;352;78236;"2019-01-03 02:42:00";"2019-01-03 02:50:00";190.0000;28.0000;0.1333;1.0000;6.77;SPO;C;0
944652;352;78236;"2019-01-03 02:50:00";"2019-01-03 02:55:00";190.0000;28.0000;0.0833;1.0000;6.77;ANT;C;0
944653;352;78236;"2019-01-03 02:50:00";"2019-01-03 02:55:00";190.0000;28.0000;0.0833;1.0000;6.77;QUA;C;0
944654;352;78236;"2019-01-03 02:50:00";"2019-01-03 02:55:00";190.0000;28.0000;0.0833;1.0000;6.77;DLM;C;0
944655;352;78236;"2019-01-03 02:50:00";"2019-01-03 02:55:00";190.0000;28.0000;0.0833;1.0000;6.77;SPO;C;3
944656;352;78236;"2019-01-03 02:55:00";"2019-01-03 03:00:00";190.0000;28.0000;0.0833;1.0000;6.77;ANT;C;0
