"Magnitude ID";"User ID";"Obs Session ID";Shower;"Start Date";"End Date";"Mag N6";"Mag N5";"Mag N4";"Mag N3";"Mag N2";"Mag N1";"Mag 0";"Mag 1";"Mag 2";"Mag 3";"Mag 4";"Mag 5";"Mag 6";"Mag 7"
275246;11586;78233;SPO;"2019-01-02 21:30:00";"2019-01-02 22:55:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275247;11586;78233;ANT;"2019-01-02 21:30:00";"2019-01-02 22:55:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
275248;11586;78233;QUA;"2019-01-02 21:30:00";"2019-01-02 22:55:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275249;474;78234;SPO;"2019-01-02 17:15:00";"2019-01-02 19:05:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;3.00;2.00;3.00;0.00;0.00
275250;474;78234;ANT;"2019-01-02 17:15:00";"2019-01-02 19:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275251;474;78234;QUA;"2019-01-02 17:15:00";"2019-01-02 19:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;0.00;0.00;0.00
275252;82;78235;SPO;"2019-01-02 17:35:00";"2019-01-02 18:35:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;3.00;1.00;1.00;0.00
275253;82;78235;ANT;"2019-01-02 17:35:00";"2019-01-02 18:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
275254;82;78235;QUA;"2019-01-02 17:35:00";"2019-01-02 18:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00
275255;352;78236;SPO;"2019-01-03 02:42:00";"2019-01-03 05:00:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;3.00;5.00;2.00;1.00;0.00
275256;352;78236;ANT;"2019-01-03 02:42:00";"2019-01-03 05:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275257;352;78236;QUA;"2019-01-03 02:42:00";"2019-01-03 05:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;4.00;3.00;1.00;0.00
275258;352;78236;DLM;"2019-01-03 02:42:00";"2019-01-03 05:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00
275259;131;78237;SPO;"2019-01-03 02:37:00";"2019-01-03 04:58:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;2.00;4.00;7.00;2.00;0.00;0.00
275260;131;78237;QUA;"2019-01-03 02:37:00";"2019-01-03 04:58:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;3.00;3.00;4.00;0.00;0.00
275261;131;78237;DLM;"2019-01-03 02:37:00";"2019-01-03 04:58:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
275262;131;78237;ANT;"2019-01-03 02:37:00";"2019-01-03 04:58:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
275285;7621;78242;SPO;"2019-01-03 20:47:00";"2019-01-03 21:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275286;7621;78242;SPO;"2019-01-03 21:00:00";"2019-01-03 21:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275287;7621;78242;SPO;"2019-01-03 21:15:00";"2019-01-03 21:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275288;7621;78242;SPO;"2019-01-03 21:40:00";"2019-01-03 21:50:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275289;7621;78242;QUA;"2019-01-03 20:47:00";"2019-01-03 21:00:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.50;1.50;0.00;0.00;0.00;0.00
275290;7621;78242;QUA;"2019-01-03 21:00:00";"2019-01-03 21:15:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00
275291;7621;78242;QUA;"2019-01-03 21:15:00";"2019-01-03 21:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.50;1.50;0.00;0.00;0.00;0.00
275292;7621;78242;QUA;"2019-01-03 21:40:00";"2019-01-03 21:50:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;2.00;1.00;0.00;0.00;0.00
275293;31;78243;SPO;"2019-01-03 21:55:00";"2019-01-04 00:20:00";0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;1.50;2.00;4.00;7.00;1.50;0.00
275294;31;78243;ANT;"2019-01-03 21:55:00";"2019-01-04 00:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
275295;31;78243;QUA;"2019-01-03 21:55:00";"2019-01-04 00:20:00";0.00;0.00;0.00;0.00;2.00;0.50;1.50;0.00;0.00;0.50;1.50;2.00;0.00;0.00
275296;31;78243;DLM;"2019-01-03 21:55:00";"2019-01-04 00:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275297;7210;78244;SPO;"2019-01-03 22:45:00";"2019-01-03 23:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275298;7210;78244;SPO;"2019-01-03 23:00:00";"2019-01-03 23:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
275299;7210;78244;SPO;"2019-01-03 23:59:00";"2019-01-04 00:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275300;7210;78244;SPO;"2019-01-04 04:10:00";"2019-01-04 04:34:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275301;7210;78244;QUA;"2019-01-03 22:45:00";"2019-01-03 23:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275302;7210;78244;QUA;"2019-01-03 23:00:00";"2019-01-03 23:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275303;7210;78244;QUA;"2019-01-03 23:59:00";"2019-01-04 00:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275304;7210;78244;QUA;"2019-01-04 04:10:00";"2019-01-04 04:34:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.50;0.50;0.00;0.00;0.00;0.00
275305;7976;78245;SPO;"2019-01-03 20:07:00";"2019-01-03 21:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00
275306;7976;78245;QUA;"2019-01-03 20:07:00";"2019-01-03 20:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;2.00;1.00;0.00;0.00
275307;7976;78245;QUA;"2019-01-03 20:50:00";"2019-01-03 21:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.50;0.50;0.00;0.00;0.00
275308;7976;78246;SPO;"2019-01-03 23:19:00";"2019-01-03 23:28:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
275309;7976;78246;QUA;"2019-01-03 23:19:00";"2019-01-03 23:28:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.50;2.00;0.50;0.00;0.00
275310;532;78247;SPO;"2019-01-04 02:19:00";"2019-01-04 02:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275311;532;78247;SPO;"2019-01-04 02:35:00";"2019-01-04 02:47:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275312;532;78247;SPO;"2019-01-04 02:47:00";"2019-01-04 03:08:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275313;532;78247;SPO;"2019-01-04 03:08:00";"2019-01-04 03:18:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
275314;532;78247;QUA;"2019-01-04 02:19:00";"2019-01-04 02:35:00";0.00;0.00;0.00;0.00;0.00;0.00;2.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00
275315;532;78247;QUA;"2019-01-04 02:35:00";"2019-01-04 02:47:00";0.00;0.00;0.00;0.00;0.00;1.00;2.00;1.00;4.00;2.00;0.00;0.00;0.00;0.00
275316;532;78247;QUA;"2019-01-04 02:47:00";"2019-01-04 03:08:00";0.00;0.00;0.00;1.00;1.00;2.00;2.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00
275317;532;78247;QUA;"2019-01-04 03:08:00";"2019-01-04 03:18:00";0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275318;9938;78248;SPO;"2019-01-04 01:20:00";"2019-01-04 02:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
275319;9938;78248;SPO;"2019-01-04 02:20:00";"2019-01-04 03:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
275320;9938;78248;QUA;"2019-01-04 01:20:00";"2019-01-04 02:20:00";0.00;0.00;0.00;0.00;0.00;2.00;4.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00
275321;9938;78248;QUA;"2019-01-04 02:20:00";"2019-01-04 03:20:00";0.00;0.00;0.00;0.00;0.00;1.00;2.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00
275340;7726;78250;SPO;"2019-01-03 18:15:00";"2019-01-03 21:30:00";0.00;0.00;0.00;0.00;1.00;0.00;2.00;3.00;2.00;5.00;4.00;0.00;0.00;0.00
275341;7726;78250;QUA;"2019-01-03 18:15:00";"2019-01-03 21:30:00";0.00;0.00;0.00;0.00;1.00;0.00;3.00;2.00;3.00;3.00;1.00;0.00;0.00;0.00
275342;352;78251;SPO;"2019-01-04 01:15:00";"2019-01-04 02:06:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;2.00;2.00;0.00;0.00
275343;352;78251;SPO;"2019-01-04 02:06:00";"2019-01-04 03:37:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;2.00;2.00;2.00;1.00;0.00
275344;352;78251;SPO;"2019-01-04 03:37:00";"2019-01-04 04:47:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;2.00;1.00;0.00
275345;352;78251;SPO;"2019-01-04 04:47:00";"2019-01-04 04:54:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
275346;352;78251;ANT;"2019-01-04 01:15:00";"2019-01-04 04:54:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00
275347;352;78251;QUA;"2019-01-04 01:15:00";"2019-01-04 01:22:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;1.00;3.00;2.00;0.00;1.00;0.00
275348;352;78251;QUA;"2019-01-04 01:22:00";"2019-01-04 01:23:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00
275349;352;78251;QUA;"2019-01-04 01:23:00";"2019-01-04 01:27:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;1.00;0.00;0.00
275350;352;78251;QUA;"2019-01-04 01:27:00";"2019-01-04 01:39:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;1.00;2.00;0.00;0.00;0.00
275351;352;78251;QUA;"2019-01-04 01:39:00";"2019-01-04 01:43:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;1.00;1.00;0.00;0.00
275352;352;78251;QUA;"2019-01-04 01:43:00";"2019-01-04 01:47:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00
275353;352;78251;QUA;"2019-01-04 01:47:00";"2019-01-04 01:49:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00
275354;352;78251;QUA;"2019-01-04 01:49:00";"2019-01-04 01:56:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;1.00;0.00
275355;352;78251;QUA;"2019-01-04 01:56:00";"2019-01-04 02:00:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;2.00;2.00;3.00;1.00;0.00
275356;352;78251;QUA;"2019-01-04 02:00:00";"2019-01-04 02:06:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;1.00;0.00;1.00;0.00;0.00;0.00
275357;352;78251;QUA;"2019-01-04 02:06:00";"2019-01-04 02:09:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00;0.00
275358;352;78251;QUA;"2019-01-04 02:09:00";"2019-01-04 02:14:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00
275359;352;78251;QUA;"2019-01-04 02:14:00";"2019-01-04 02:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;1.00;2.00;2.00;1.00;0.00;0.00
275360;352;78251;QUA;"2019-01-04 02:20:00";"2019-01-04 02:25:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;1.00;0.00;0.00
275361;352;78251;QUA;"2019-01-04 02:25:00";"2019-01-04 02:33:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;2.00;0.00;0.00
275362;352;78251;QUA;"2019-01-04 02:33:00";"2019-01-04 02:40:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;5.00;1.00;1.00;0.00;0.00
275363;352;78251;QUA;"2019-01-04 02:40:00";"2019-01-04 02:50:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.00;4.00;3.00;0.00;0.00;0.00
275364;352;78251;QUA;"2019-01-04 03:07:00";"2019-01-04 03:09:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;2.00;1.00;0.00;0.00;0.00
275365;352;78251;QUA;"2019-01-04 03:09:00";"2019-01-04 03:11:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;1.00;2.00;0.00;0.00
275366;352;78251;QUA;"2019-01-04 03:11:00";"2019-01-04 03:13:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00
275367;352;78251;QUA;"2019-01-04 03:13:00";"2019-01-04 03:27:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;2.00;4.00;4.00;2.00;2.00;0.00
