"Magnitude ID";"User ID";"Obs Session ID";Shower;"Start Date";"End Date";"Mag N6";"Mag N5";"Mag N4";"Mag N3";"Mag N2";"Mag N1";"Mag 0";"Mag 1";"Mag 2";"Mag 3";"Mag 4";"Mag 5";"Mag 6";"Mag 7"
332102;7131;84986;ANT;"2023-01-03 00:05:00";"2023-01-03 00:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
332103;7131;84986;ANT;"2023-01-03 00:35:00";"2023-01-03 01:05:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
332104;7131;84986;QUA;"2023-01-03 00:05:00";"2023-01-03 00:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
332105;7131;84986;QUA;"2023-01-03 00:35:00";"2023-01-03 01:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
332106;7131;84986;DLM;"2023-01-03 00:05:00";"2023-01-03 00:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
332107;7131;84986;DLM;"2023-01-03 00:35:00";"2023-01-03 01:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
332108;7131;84986;SPO;"2023-01-03 00:05:00";"2023-01-03 00:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
332109;7131;84986;SPO;"2023-01-03 00:35:00";"2023-01-03 01:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00
332110;7131;84987;ANT;"2023-01-04 06:35:00";"2023-01-04 07:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
332111;7131;84987;QUA;"2023-01-04 06:35:00";"2023-01-04 07:05:00";0.00;0.00;0.00;0.00;0.00;1.00;2.00;2.00;0.00;2.00;0.00;0.00;0.00;0.00
332112;7131;84987;DLM;"2023-01-04 06:35:00";"2023-01-04 07:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
332113;7131;84987;SPO;"2023-01-04 06:35:00";"2023-01-04 07:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
332114;112;84988;ANT;"2023-01-04 04:45:00";"2023-01-04 06:50:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00
332115;112;84988;QUA;"2023-01-04 04:45:00";"2023-01-04 06:05:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;4.00;6.00;7.00;3.00;0.00;0.00
332116;112;84988;QUA;"2023-01-04 06:05:00";"2023-01-04 06:50:00";0.00;0.00;0.00;1.00;0.00;2.00;4.00;2.00;3.00;11.00;5.00;2.00;1.00;0.00
332117;112;84988;COM;"2023-01-04 04:45:00";"2023-01-04 06:50:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;2.00;0.00;3.00;1.00;0.00
332118;112;84988;SPO;"2023-01-04 04:45:00";"2023-01-04 06:50:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;5.00;6.00;0.00
332119;131;84989;QUA;"2023-01-04 04:52:00";"2023-01-04 05:29:00";0.00;0.00;0.00;0.00;1.00;2.00;1.00;2.00;4.00;2.00;1.00;1.00;0.00;0.00
332120;131;84989;DLM;"2023-01-04 04:52:00";"2023-01-04 05:29:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
332121;131;84989;ANT;"2023-01-04 04:52:00";"2023-01-04 05:29:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
332122;131;84989;SPO;"2023-01-04 04:52:00";"2023-01-04 05:29:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00
332123;82;84990;QUA;"2023-01-04 01:55:00";"2023-01-04 03:25:00";0.00;0.00;0.00;1.00;0.00;0.00;1.50;3.50;4.00;4.50;5.00;1.50;0.00;0.00
332124;82;84990;QUA;"2023-01-04 03:25:00";"2023-01-04 04:25:00";0.00;0.00;0.00;0.50;1.50;1.00;0.00;1.50;5.00;6.50;4.50;0.50;0.00;0.00
332125;82;84990;ANT;"2023-01-04 01:55:00";"2023-01-04 04:25:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00
332126;82;84990;DLM;"2023-01-04 01:55:00";"2023-01-04 04:25:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
332127;82;84990;SPO;"2023-01-04 01:55:00";"2023-01-04 04:25:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.50;1.00;3.50;2.50;0.50;0.00;0.00
332128;352;84991;QUA;"2023-01-04 04:27:00";"2023-01-04 04:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
332129;352;84991;QUA;"2023-01-04 04:35:00";"2023-01-04 04:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00
332130;352;84991;QUA;"2023-01-04 04:45:00";"2023-01-04 04:55:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00
332131;352;84991;QUA;"2023-01-04 04:55:00";"2023-01-04 04:59:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
332132;352;84991;QUA;"2023-01-04 05:11:00";"2023-01-04 05:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;1.00;0.00;0.00;0.00
332133;352;84991;QUA;"2023-01-04 05:15:00";"2023-01-04 05:27:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00
332134;352;84991;QUA;"2023-01-04 05:27:00";"2023-01-04 05:36:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00
332135;352;84991;QUA;"2023-01-04 05:36:00";"2023-01-04 05:45:00";0.00;0.00;0.00;0.00;0.00;0.00;2.00;2.00;1.00;0.00;1.00;1.00;1.00;0.00
332136;352;84991;QUA;"2023-01-04 05:45:00";"2023-01-04 05:57:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;1.00;1.00;0.00;2.00;0.00;0.00
332137;352;84991;QUA;"2023-01-04 05:57:00";"2023-01-04 06:11:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;4.00;0.00;1.00;0.00;0.00
332138;352;84991;DLM;"2023-01-04 04:27:00";"2023-01-04 06:11:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
