"Magnitude ID";"User ID";"Obs Session ID";Shower;"Start Date";"End Date";"Mag N6";"Mag N5";"Mag N4";"Mag N3";"Mag N2";"Mag N1";"Mag 0";"Mag 1";"Mag 2";"Mag 3";"Mag 4";"Mag 5";"Mag 6";"Mag 7"
348266;82;86490;QUA;"2024-01-03 02:40:00";"2024-01-03 04:22:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;4.00;4.00;1.00;0.00;0.00
348267;82;86490;ANT;"2024-01-03 02:40:00";"2024-01-03 04:22:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;2.00;0.00;0.00;0.00
348268;82;86490;COM;"2024-01-03 02:40:00";"2024-01-03 04:22:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00
348269;82;86490;SPO;"2024-01-03 02:40:00";"2024-01-03 04:22:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;2.00;4.00;0.00;0.00
348270;210;86491;QUA;"2024-01-03 00:52:00";"2024-01-03 03:28:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;2.00;4.00;3.00;0.00;0.00
348271;210;86491;ANT;"2024-01-03 00:52:00";"2024-01-03 03:28:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;2.00;2.00;0.00;0.00
348272;210;86491;COM;"2024-01-03 00:52:00";"2024-01-03 03:28:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;1.00;0.00;0.00
348273;210;86491;SPO;"2024-01-03 00:52:00";"2024-01-03 03:28:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;3.00;5.00;3.00;0.00;0.00
348274;532;86492;ANT;"2024-01-04 05:11:00";"2024-01-04 05:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
348275;532;86492;ANT;"2024-01-04 05:30:00";"2024-01-04 05:49:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
348276;532;86492;ANT;"2024-01-04 05:49:00";"2024-01-04 05:57:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
348277;532;86492;QUA;"2024-01-04 05:11:00";"2024-01-04 05:30:00";0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00
348278;532;86492;QUA;"2024-01-04 05:30:00";"2024-01-04 05:49:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;1.00;3.00;0.00;0.00;0.00
348279;532;86492;QUA;"2024-01-04 05:49:00";"2024-01-04 05:57:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00
348280;532;86492;SPO;"2024-01-04 05:11:00";"2024-01-04 05:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
348281;532;86492;SPO;"2024-01-04 05:30:00";"2024-01-04 05:49:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
348282;532;86492;SPO;"2024-01-04 05:49:00";"2024-01-04 05:57:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
