"Magnitude ID";"User ID";"Obs Session ID";Shower;"Start Date";"End Date";"Mag N6";"Mag N5";"Mag N4";"Mag N3";"Mag N2";"Mag N1";"Mag 0";"Mag 1";"Mag 2";"Mag 3";"Mag 4";"Mag 5";"Mag 6";"Mag 7"
304173;11553;81907;ANT;"2021-01-02 22:30:00";"2021-01-02 23:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
304174;11553;81907;ANT;"2021-01-02 23:20:00";"2021-01-02 23:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
304175;11553;81907;QUA;"2021-01-02 22:30:00";"2021-01-02 23:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00
304176;11553;81907;QUA;"2021-01-02 23:20:00";"2021-01-02 23:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
304177;11553;81907;DLM;"2021-01-02 22:30:00";"2021-01-02 23:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
304178;11553;81907;DLM;"2021-01-02 23:20:00";"2021-01-02 23:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
304179;11553;81907;SPO;"2021-01-02 22:30:00";"2021-01-02 23:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
304180;11553;81907;SPO;"2021-01-02 23:20:00";"2021-01-02 23:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
304181;418;81908;QUA;"2021-01-03 09:15:00";"2021-01-03 10:15:00";0.00;0.00;0.00;0.00;0.00;2.00;5.00;3.00;6.00;4.00;0.00;0.00;0.00;0.00
304182;418;81908;SPO;"2021-01-03 09:15:00";"2021-01-03 10:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00
