"Magnitude ID";"User ID";"Obs Session ID";Shower;"Start Date";"End Date";"Mag N6";"Mag N5";"Mag N4";"Mag N3";"Mag N2";"Mag N1";"Mag 0";"Mag 1";"Mag 2";"Mag 3";"Mag 4";"Mag 5";"Mag 6";"Mag 7"
329814;194;84796;NUE;"2022-10-23 16:52:00";"2022-10-23 18:01:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
329815;194;84796;SPO;"2022-10-23 16:52:00";"2022-10-23 18:01:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;1.00;0.00;0.00;0.00
329816;7466;84797;STA;"2022-11-05 16:20:00";"2022-11-05 17:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
329817;7466;84797;STA;"2022-11-05 17:00:00";"2022-11-05 17:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
329818;7466;84797;ORI;"2022-11-05 16:20:00";"2022-11-05 17:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
329819;7466;84797;ORI;"2022-11-05 17:00:00";"2022-11-05 17:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
329820;7466;84797;NTA;"2022-11-05 16:20:00";"2022-11-05 17:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
329821;7466;84797;NTA;"2022-11-05 17:00:00";"2022-11-05 17:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
329822;7466;84797;LEO;"2022-11-05 16:20:00";"2022-11-05 17:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
329823;7466;84797;LEO;"2022-11-05 17:00:00";"2022-11-05 17:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
329824;7466;84797;SPO;"2022-11-05 16:20:00";"2022-11-05 17:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;0.00;0.00;0.00
329825;7466;84797;SPO;"2022-11-05 17:00:00";"2022-11-05 17:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;4.00;0.00;0.00;0.00
329826;82;84798;NTA;"2022-10-30 21:40:00";"2022-10-31 00:10:00";0.00;0.00;0.00;1.00;0.00;0.00;0.50;1.50;1.00;2.00;1.00;0.00;0.00;0.00
329827;82;84798;STA;"2022-10-30 21:40:00";"2022-10-31 00:10:00";0.00;0.00;0.00;0.00;0.00;0.50;0.50;0.00;1.00;2.00;0.50;0.50;0.00;0.00
329828;82;84798;ORI;"2022-10-30 21:40:00";"2022-10-31 00:10:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.50;1.50;1.50;1.50;0.00;0.00
329829;82;84798;SPO;"2022-10-30 21:40:00";"2022-10-31 00:10:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;2.50;4.50;4.50;1.50;0.00;0.00
329830;82;84799;NTA;"2022-11-01 22:00:00";"2022-11-01 22:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
329831;82;84799;STA;"2022-11-01 22:00:00";"2022-11-01 22:45:00";0.00;0.00;0.00;0.00;0.50;0.50;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00
329832;82;84799;ORI;"2022-11-01 22:00:00";"2022-11-01 22:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
329833;82;84799;SPO;"2022-11-01 22:00:00";"2022-11-01 22:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;1.50;1.00;0.00;0.00
329834;82;84800;STA;"2022-11-06 03:15:00";"2022-11-06 04:55:00";0.00;0.00;0.00;0.00;0.00;1.00;1.50;1.50;0.00;0.00;0.00;0.50;0.50;0.00
329835;82;84800;NTA;"2022-11-06 03:15:00";"2022-11-06 04:55:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.50;1.00;0.50;0.00
329836;82;84800;ORI;"2022-11-06 03:15:00";"2022-11-06 04:55:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
329837;82;84800;LEO;"2022-11-06 03:15:00";"2022-11-06 04:55:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
329838;82;84800;SPO;"2022-11-06 03:15:00";"2022-11-06 04:55:00";0.00;0.00;0.00;0.00;0.00;0.50;1.00;0.50;1.00;6.50;4.50;3.00;1.00;0.00
329839;366;84801;STA;"2022-11-01 21:15:00";"2022-11-01 21:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
329840;366;84801;STA;"2022-11-01 21:45:00";"2022-11-01 22:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
