Session ID,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high
88487,14.9265,79.58122,14.434973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88488,20.149,65.36698,20.102022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88489,23.899,62.68306,24.815786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88490,20.447,66.28564,20.12615,0.0,0.0,0.0,3.0,100.0,0.0,0.0,100.0
88491,14.0555,83.79185,13.974869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88492,17.3435,70.81466,16.059948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88493,15.4435,91.96453,15.013079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88495,22.984999,79.93124,25.58254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88496,25.734999,45.217747,26.155247,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
88497,19.4475,68.93595,20.037628,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
88498,19.9475,68.14514,20.885744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88499,24.9765,58.496128,25.45266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88500,24.9765,58.496128,25.45266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88501,24.9765,58.496128,25.45266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88502,19.6025,81.25883,21.408802,0.0,0.0,0.0,1.0,29.0,0.0,0.0,29.0
88503,23.7525,74.51561,25.424597,0.0,0.0,0.0,1.0,48.0,0.0,0.0,48.0
88504,25.1025,70.903305,26.802671,0.0,0.0,0.0,3.0,91.0,91.0,2.0,0.0
88505,15.502501,79.662704,15.147835,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
88506,25.6525,49.66367,24.941145,0.0,0.0,0.0,1.0,20.0,0.0,0.0,20.0
88507,26.763,67.366104,29.220936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88508,13.3525,64.976616,10.969595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88509,13.3525,64.976616,10.969595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88510,16.1815,77.94795,15.794889,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
88511,7.4965,91.46809,5.517658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88512,15.961999,70.551,14.566412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
88513,13.493,76.502495,12.275286,0.0,0.0,0.0,0.0,9.0,9.0,0.0,1.0
88514,13.543,85.700005,13.686106,0.0,0.0,0.0,1.0,44.0,1.0,0.0,43.0
