Session ID,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high
84986,1.6395,90.08951,-2.9766946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84987,10.4395,82.79875,3.9881754,0.0,0.0,0.0,3.0,96.0,95.0,34.0,0.0
84988,2.4449997,98.58729,-1.3660679,0.0,0.0,0.0,2.0,55.0,55.0,0.0,0.0
84989,-1.4430001,99.26851,-4.33565,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0
84990,4.4,90.94021,0.619009,0.0,0.0,0.0,2.0,65.0,0.0,0.0,65.0
84991,2.094,92.09362,-0.40595198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84992,5.0099993,77.822754,1.5482693,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
84993,5.0099993,77.822754,1.5482693,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
84994,2.3485,85.083206,-1.1068187,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0
84995,2.3485,85.083206,-1.1068187,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0
84998,4.91,78.08634,1.5571856,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
84999,0.28749996,93.673515,-2.6149287,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
85006,3.697,99.29857,1.6154852,0.0,0.0,0.0,2.0,64.0,64.0,0.0,0.0
85026,-0.045500003,89.62866,-3.388157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85027,1.0,79.19787,-3.673493,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
85028,-2.6,88.08572,-6.9144235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85029,-3.1955001,92.79514,-6.9067955,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0
85030,-1.4,88.52554,-5.964355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85031,-3.2024999,87.03693,-7.598925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85033,3.874,70.897156,0.51842594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85034,-1.161,91.54878,-5.5842404,0.0,0.0,0.0,2.0,61.0,16.0,52.0,4.0
85035,3.324,74.23715,0.14505005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85036,11.558,88.70992,11.021772,0.0,0.0,0.0,3.0,100.0,0.0,4.0,100.0
85037,14.013499,96.48993,14.584709,0.0,0.0,0.0,1.0,39.0,38.0,1.0,0.0
85038,2.574,79.725746,-0.5548358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85039,3.174,80.1041,-0.2517643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85040,11.2135,79.85595,9.05441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85041,20.393,40.283745,18.808306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85042,2.7545,76.89758,-2.6757514,0.0,0.0,0.0,1.0,38.0,37.0,6.0,0.0
85043,-2.4175,78.36928,-7.061317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85044,-2.1955001,77.81179,-6.8201027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85045,-0.9685,88.56412,-6.5089154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
