Session ID,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high
81907,0.181,95.04364,-3.0094366,0.0,0.0,0.0,3.0,99.0,99.0,0.0,0.0
81908,-0.52500004,63.885014,-7.3868465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81909,-0.9714999,43.763386,-4.778613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81910,1.863,86.58741,-1.4627862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81911,-7.7644997,90.025986,-12.365485,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
81913,-14.2065,86.92667,-19.235348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81914,-15.590501,54.990303,-20.623781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81915,-8.4145,92.1206,-13.2611885,0.0,0.0,0.0,1.0,40.0,40.0,0.0,0.0
81916,-14.0065,86.588326,-18.923954,0.0,0.0,0.0,1.0,33.0,0.0,0.0,33.0
81917,10.374,46.101696,7.872945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81918,-11.5645,88.98945,-16.146488,0.0,0.0,0.0,1.0,45.0,45.0,0.0,0.0
81923,-2.987,62.30708,-7.688774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81925,-0.17500001,89.28922,-4.594107,0.0,0.0,0.0,2.0,62.0,0.0,0.0,62.0
81930,-4.9185,88.2038,-11.40843,0.0,0.0,0.0,2.0,71.0,29.0,3.0,65.0
81931,25.8605,76.95598,30.140125,0.0,0.0,0.0,1.0,23.0,0.0,23.0,0.0
81932,0.95,87.76721,-4.2766743,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0
81933,1.6044999,89.43643,-3.6339982,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0
81935,7.963,58.269215,4.368208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81936,0.667,58.786232,-3.758078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81944,18.626,78.06063,18.88059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81945,12.9675,86.787224,11.582645,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
81946,16.117498,65.142944,14.013565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81947,15.2825,97.46113,14.74523,0.0,0.0,0.0,2.0,76.0,76.0,0.0,0.0
81949,-11.2645,81.7486,-16.419073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81950,-3.2,84.7602,-6.562715,0.0,0.0,0.0,3.0,99.0,66.0,0.0,98.0
81951,-24.7185,83.7926,-30.2154,0.0,0.0,0.0,2.0,75.0,6.0,0.0,73.0
81952,-20.018501,80.787964,-25.359455,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0
81953,-1.6805,83.36,-5.1068625,0.0,0.0,0.0,3.0,91.0,91.0,0.0,0.0
81955,20.654,85.60016,22.523748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81956,-19.3685,84.1315,-24.378872,0.0,0.0,0.0,3.0,100.0,100.0,0.0,8.0
81957,-2.4455001,87.77004,-6.299359,0.0,0.0,0.0,1.0,30.0,29.0,0.0,1.0
81958,-17.9685,83.23039,-23.468582,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
81963,16.754,89.133255,16.711643,0.0,0.0,0.0,2.0,51.0,0.0,34.0,29.0
81964,9.55,67.36519,3.7689705,0.0,0.0,0.0,3.0,100.0,4.0,62.0,100.0
81965,-1.6525,92.540085,-4.963437,0.0,0.0,0.0,2.0,62.0,57.0,0.0,11.0
