Session ID,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high
83503,-2.7185001,84.49675,-8.536646,0.0,0.0,0.0,2.0,50.0,50.0,0.0,0.0
83504,8.75,92.80692,6.063385,0.0,0.0,0.0,3.0,100.0,7.0,40.0,98.0
83505,5.324,60.64093,1.8930478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83507,2.889,57.59895,-0.60144997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83508,7.174,80.39075,3.193346,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0
83509,0.4055,81.48657,-3.9588892,0.0,0.0,0.0,3.0,100.0,100.0,7.0,0.0
83510,7.5325,82.720795,3.491107,0.1,0.1,0.0,51.0,36.0,31.0,12.0,0.0
83511,7.1545,80.953964,3.1419482,0.0,0.0,0.0,1.0,33.0,26.0,18.0,0.0
83512,4.3025002,93.87122,-0.1918459,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0
83513,7.357,95.645294,5.025526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83514,7.424,78.75184,3.4453034,0.0,0.0,0.0,0.0,13.0,12.0,5.0,0.0
83515,5.5315,90.70044,1.6701646,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
83516,6.1905,82.550575,2.2419038,0.0,0.0,0.0,1.0,24.0,21.0,8.0,0.0
83517,7.1545,80.953964,3.1419482,0.0,0.0,0.0,1.0,33.0,26.0,18.0,0.0
83518,6.7185,88.60159,2.6804976,0.0,0.0,0.0,3.0,100.0,18.0,21.0,0.0
83519,8.678,80.881226,6.9272842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83520,2.578,86.036766,-1.7349954,0.0,0.0,0.0,3.0,100.0,61.0,0.0,100.0
83521,7.002,83.52628,2.1291552,0.0,0.0,0.0,3.0,100.0,74.0,1.0,99.0
83522,6.974,49.157974,3.750101,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
83523,7.357,95.645294,5.025526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83524,-1.325,25.185183,-6.567714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83525,17.2005,46.397537,15.076387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83526,3.8525,93.517876,0.8293505,0.1,0.1,0.0,51.0,100.0,0.0,100.0,16.0
83527,-1.1500001,97.466576,-5.0754094,0.0,0.0,0.0,3.0,100.0,100.0,32.0,0.0
83528,-3.75,91.71846,-7.5725956,0.0,0.0,0.0,1.0,38.0,38.0,0.0,0.0
83529,-6.4344997,29.619911,-11.23004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83530,0.7405,78.86583,-2.5447404,0.0,0.0,0.0,1.0,22.0,0.0,22.0,0.0
83531,7.357,95.645294,5.025526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83532,0.63250005,79.14176,-4.5695205,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
83533,-10.6905,50.727573,-16.91389,0.0,0.0,0.0,2.0,63.0,63.0,0.0,0.0
83534,1.2045,81.29695,-4.1333523,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0
83535,-5.55,68.65839,-10.727642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83536,4.4,65.75774,1.5668745,0.0,0.0,0.0,3.0,100.0,0.0,0.0,100.0
83537,3.1,78.08318,0.2578702,0.0,0.0,0.0,3.0,100.0,0.0,0.0,100.0
83538,-13.7,89.52991,-17.88712,0.0,0.0,0.0,1.0,48.0,48.0,0.0,0.0
83539,0.95849997,84.30512,-2.601879,0.0,0.0,0.0,0.0,14.0,7.0,5.0,7.0
83540,-1.1,93.25851,-4.9341803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83541,-4.1184998,70.3306,-10.311995,0.0,0.0,0.0,2.0,60.0,60.0,0.0,0.0
83542,-0.6455,92.25978,-4.337946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83543,9.124,52.55894,6.094241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83544,17.063501,93.54276,18.942892,0.0,0.0,0.0,2.0,52.0,16.0,39.0,12.0
83545,18.8705,98.449524,21.33856,0.0,0.0,0.0,2.0,77.0,75.0,8.0,0.0
83548,15.4135,87.020195,15.081425,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0
83549,-1.6525,88.83325,-5.5299654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83550,14.263499,99.67696,15.055714,0.0,0.0,0.0,3.0,86.0,86.0,0.0,0.0
83551,7.357,95.645294,5.025526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83552,-11.133,87.95689,-15.739381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83553,16.8635,88.85571,16.690613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83554,-7.889,52.6472,-13.719483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83555,-4.4474998,81.42448,-10.027598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83556,-1.5095,86.55844,-5.692073,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
83557,-1.0595,75.11111,-5.523103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83558,-1.5095,86.55844,-5.692073,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
83559,-7.889,52.6472,-13.719483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83560,18.054,72.82927,18.772598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83561,-1.75,60.463036,-7.560211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83562,-3.0685,94.911804,-7.260914,0.0,0.0,0.0,3.0,100.0,100.0,0.0,5.0
83563,21.598,87.311264,24.648352,0.0,0.0,0.0,3.0,88.0,2.0,3.0,88.0
