Session ID,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high
78233,2.695,86.04914,-0.9304533,0.0,0.0,0.0,0.0,19.0,19.0,6.0,0.0
78234,-5.1295,76.427,-9.2353,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0
78235,0.15750001,75.89288,-3.7061744,0.0,0.0,0.0,3.0,82.0,8.0,0.0,80.0
78236,-4.313,51.34953,-9.074214,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0
78237,-4.313,51.34953,-9.074214,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0
78242,15.657001,92.87309,14.118164,0.6,0.6,0.0,53.0,100.0,100.0,98.0,0.0
78243,-2.9095001,88.72253,-7.1520367,0.0,0.0,0.0,3.0,97.0,1.0,0.0,97.0
78244,1.0450001,54.12253,-4.296234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78245,3.9525,86.79862,0.88738775,0.0,0.0,0.0,3.0,92.0,79.0,24.0,62.0
78246,4.2025003,92.22284,1.4001799,0.0,0.0,0.0,2.0,69.0,68.0,27.0,0.0
78247,0.3485,89.33284,-2.4066133,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
78248,-0.72449994,94.31255,-4.3447323,0.0,0.0,0.0,3.0,100.0,10.0,49.0,100.0
78250,2.9475,87.32348,-0.29194498,0.0,0.0,0.0,2.0,78.0,74.0,0.0,16.0
78251,-4.2419996,69.48542,-8.75904,0.0,0.0,0.0,2.0,72.0,71.0,21.0,0.0
78258,4.7015,78.334274,1.2518039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78260,4.6235,78.32215,1.1607985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78262,-2.8565,71.69028,-6.9285274,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
78263,-0.71849996,79.82509,-3.8076587,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0
78264,-2.5685,85.79905,-6.2259293,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
78265,1.539,55.946613,-4.0328074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78266,-4.2355,69.48682,-8.751991,0.0,0.0,0.0,2.0,72.0,71.0,21.0,0.0
78267,0.68450004,64.17263,-3.7329874,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
78268,6.5344996,79.17435,3.2860718,0.0,0.0,0.0,3.0,81.0,1.0,81.0,0.0
78269,0.415,78.23219,-3.3700492,0.0,0.0,0.0,3.0,99.0,15.0,89.0,97.0
78270,4.6235,78.32215,1.1607985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78271,2.0870001,69.24052,-2.293859,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0
78272,3.8735,77.36128,0.61752415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78274,19.0275,72.29584,19.455103,0.0,0.0,0.0,1.0,35.0,0.0,20.0,20.0
78275,0.14500001,62.12029,-5.2393193,0.0,0.0,0.0,1.0,31.0,0.0,31.0,0.0
78276,-13.547501,90.654625,-17.876482,0.0,0.0,0.0,1.0,36.0,36.0,0.0,0.0
78277,-3.265,71.33184,-9.345794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78278,20.5815,72.11092,21.176828,0.0,0.0,0.0,2.0,78.0,13.0,5.0,75.0
78279,0.8825,77.728615,-2.8373055,0.0,0.0,0.0,0.0,17.0,7.0,1.0,0.0
78280,-1.7085,86.86173,-5.7744427,0.0,0.0,0.0,1.0,25.0,11.0,0.0,16.0
78281,3.9234998,78.77961,0.44738293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78284,-1.4065,87.21677,-6.5263405,0.0,0.0,0.0,2.0,65.0,1.0,0.0,64.0
78323,3.445,92.50531,0.17962122,0.0,0.0,0.0,1.0,27.0,0.0,0.0,27.0
78326,-0.035000086,74.45201,-3.1912813,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0
78327,17.9365,87.81377,19.46972,0.0,0.0,0.0,1.0,22.0,1.0,22.0,0.0
78328,18.0365,87.54257,18.405272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78329,22.7865,41.942352,20.506845,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
78330,3.805,92.19872,1.209466,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
78340,-1.4595001,84.32957,-5.927674,0.0,0.0,0.0,1.0,21.0,19.0,13.0,0.0
78341,21.119001,94.023994,24.414366,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0
78342,-5.3415003,86.48417,-8.675512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78343,22.021502,84.942024,24.498465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78344,21.271502,88.65169,24.11155,0.0,0.0,0.0,0.0,10.0,7.0,5.0,0.0
78345,21.021502,76.936806,22.69192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78346,20.771502,84.0141,23.177101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78347,19.771502,90.21482,21.492903,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
78348,21.021502,90.58416,24.218628,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0
78349,22.021502,84.942024,24.498465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78350,21.271502,88.65169,24.11155,0.0,0.0,0.0,0.0,10.0,7.0,5.0,0.0
78351,21.021502,76.936806,22.69192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78352,20.771502,84.0141,23.177101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78353,22.021502,84.942024,24.498465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78354,20.7215,92.27103,23.723576,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
78355,21.271502,88.65169,24.11155,0.0,0.0,0.0,0.0,10.0,7.0,5.0,0.0
78356,19.7215,86.866356,21.786867,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0
